true_eta,scheme,prior_family,prior_strength,eta,posterior_weight
0.0,aggregate_weekly,spike_slab,weak,0.0,0.3399528094782341
0.0,aggregate_weekly,spike_slab,weak,0.25,0.08175711946415533
0.0,aggregate_weekly,spike_slab,weak,0.5,0.10487053274040713
0.0,aggregate_weekly,spike_slab,weak,0.75,0.10133117612689373
0.0,aggregate_weekly,spike_slab,weak,1.0,0.07493961539363213
0.0,aggregate_weekly,spike_slab,weak,1.25,0.0904744144793989
0.0,aggregate_weekly,spike_slab,weak,1.5,8.319369195310515e-5
0.0,aggregate_weekly,spike_slab,weak,1.75,5.2343882692021225e-5
0.0,aggregate_weekly,spike_slab,weak,2.0,0.02536429009385534
0.0,aggregate_weekly,spike_slab,weak,2.25,0.039114912118378
0.0,aggregate_weekly,spike_slab,weak,2.5,0.03467844955206433
0.0,aggregate_weekly,spike_slab,weak,2.75,0.03258446823770073
0.0,aggregate_weekly,spike_slab,weak,3.0,0.06666684174267141
0.0,aggregate_weekly,spike_slab,weak,3.25,0.006747551169048188
0.0,aggregate_weekly,spike_slab,weak,3.5,0.0013822818289154762
0.0,aggregate_weekly,spike_slab,moderate,0.0,0.5486766286620974
0.0,aggregate_weekly,spike_slab,moderate,0.25,0.04792712668419355
0.0,aggregate_weekly,spike_slab,moderate,0.5,0.06440773549215219
0.0,aggregate_weekly,spike_slab,moderate,0.75,0.06174839924773978
0.0,aggregate_weekly,spike_slab,moderate,1.0,0.05273181622387448
0.0,aggregate_weekly,spike_slab,moderate,1.25,0.05104132035641671
0.0,aggregate_weekly,spike_slab,moderate,1.5,4.3709820100109226e-5
0.0,aggregate_weekly,spike_slab,moderate,1.75,4.586427933915914e-5
0.0,aggregate_weekly,spike_slab,moderate,2.0,0.016135206293391678
0.0,aggregate_weekly,spike_slab,moderate,2.25,0.026618159425753667
0.0,aggregate_weekly,spike_slab,moderate,2.5,0.026710801702476028
0.0,aggregate_weekly,spike_slab,moderate,2.75,0.02947700099859942
0.0,aggregate_weekly,spike_slab,moderate,3.0,0.06666684016197791
0.0,aggregate_weekly,spike_slab,moderate,3.25,0.006519513990143507
0.0,aggregate_weekly,spike_slab,moderate,3.5,0.001249876661744195
0.0,aggregate_weekly,spike_slab,strong,0.0,0.7220162614932619
0.0,aggregate_weekly,spike_slab,strong,0.25,0.02228091639682048
0.0,aggregate_weekly,spike_slab,strong,0.5,0.0311389374512415
0.0,aggregate_weekly,spike_slab,strong,0.75,0.029609743518386928
0.0,aggregate_weekly,spike_slab,strong,1.0,0.030655947834982936
0.0,aggregate_weekly,spike_slab,strong,1.25,0.023127762870524923
0.0,aggregate_weekly,spike_slab,strong,1.5,1.8963762721274646e-5
0.0,aggregate_weekly,spike_slab,strong,1.75,4.1368837200146e-5
0.0,aggregate_weekly,spike_slab,strong,2.0,0.009550501583700988
0.0,aggregate_weekly,spike_slab,strong,2.25,0.014818566313264224
0.0,aggregate_weekly,spike_slab,strong,2.5,0.01721367989097976
