eta,alpha,loglik,logprior,logpost,posterior_weight
2.18,-5.318638080013187,-27130.77279675336,-0.0,-27130.77279675336,7.869172011822039e-26
2.19,-5.32663105124314,-27127.15111634783,-0.0,-27127.15111634783,2.9430988836055684e-24
2.2,-5.334646278732436,-27123.662681254766,-0.0,-27123.662681254766,9.63414027345837e-23
2.21,-5.342683561836026,-27120.306252615366,-0.0,-27120.306252615366,2.7637032061698208e-21
2.22,-5.350742700724851,-27117.080597340606,-0.0,-27117.080597340606,6.956258121349668e-20
2.23,-5.358823496398628,-27113.984488215512,-0.0,-27113.984488215512,1.538150379999687e-18
2.24,-5.366925750711431,-27111.016704000787,-0.0,-27111.016704000787,2.991514450533014e-17
2.25,-5.375049266383627,-27108.17602953042,-0.0,-27108.17602953042,5.123660585730269e-16
2.26,-5.383193847022341,-27105.461255806425,-0.0,-27105.461255806425,7.7373385566587e-15
2.27,-5.391359297136802,-27102.871180090064,-0.0,-27102.871180090064,1.0314476522756245e-13
2.28,-5.399545422153693,-27100.404605989945,-0.0,-27100.404605989945,1.2152530299818255e-12
2.29,-5.407752028436761,-27098.060343547008,-0.0,-27098.060343547008,1.2669718207682478e-11
2.3,-5.415978923297899,-27095.837209316036,-0.0,-27095.837209316036,1.1702048256667472e-10
2.31,-5.424225915014205,-27093.73402644435,-0.0,-27093.73402644435,9.586555707998867e-10
2.32,-5.432492812839058,-27091.749624747077,-0.0,-27091.749624747077,6.973925559024493e-9
2.33,-5.440779427022591,-27089.88284077993,-0.0,-27089.88284077993,4.510360790812941e-8
2.34,-5.449085568816798,-27088.132517908103,-0.0,-27088.132517908103,2.5963715875778455e-7
2.35,-5.457411050494301,-27086.497506373038,-0.0,-27086.497506373038,1.3318132627796548e-6
2.36,-5.465755685358573,-27084.976663355716,-0.0,-27084.976663355716,6.094485747361559e-6
2.37,-5.47411928775503,-27083.568853037166,-0.0,-27083.568853037166,2.4908141180026067e-5
2.38,-5.482501673082112,-27082.27294665616,-0.0,-27082.27294665616,9.102198639391847e-5
2.39,-5.490902657806629,-27081.087822564255,-0.0,-27081.087822564255,0.00029774135636228074
2.4,-5.499322059468028,-27080.01236627758,-0.0,-27080.01236627758,0.0008727782065613559
2.41,-5.507759696692034,-27079.045470526333,-0.0,-27079.045470526333,0.0022952044784444216
2.42,-5.516215389200028,-27078.186035301427,-0.0,-27078.186035301427,0.005420874567818231
2.43,-5.524688957816721,-27077.432967898403,-0.0,-27077.432967898403,0.01151124708513525
2.44,-5.533180224481242,-27076.78518295889,-0.0,-27076.78518295889,0.022001475171205688
2.45,-5.541689012253954,-27076.241602509395,-0.0,-27076.241602509395,0.03789010339482602
2.46,-5.550215145321573,-27075.80115599737,-0.0,-27075.80115599737,0.058858512218194214
2.47,-5.558758449011663,-27075.462780325423,-0.0,-27075.462780325423,0.08255891319408473
2.48,-5.5673187497926335,-27075.225419882292,-0.0,-27075.225419882292,0.1046762842696947
2.49,-5.575895875283976,-27075.088026572004,-0.0,-27075.088026572004,0.12009293378180008
2.5,-5.584489654261375,-27075.0495598404,-0.0,-27075.0495598404,0.12480251685463574
2.51,-5.593099916664386,-27075.108986699586,-0.0,-27075.108986699586,0.11760196725124597
2.52,-5.601726493599841,-27075.265281749806,-0.0,-27075.265281749806,0.10058576165781638
2.53,-5.610369217347824,-27075.51742719936,-0.0,-27075.51742719936,0.07816838358973582
2.54,-5.619027921365074,-27075.864412882147,-0.0,-27075.864412882147,0.05525062105177328
